emoji,description
🚴🏾‍♂️,"man biking: medium-dark skin tone. man biking: medium-dark skin tone. bicycle, cyclist, medium-dark skin tone, biking, man. Human-powered, pedal-driven two-wheel vehicle"
👨🏽‍🌾,"man farmer: medium skin tone. man farmer: medium skin tone. farmer, gardener, rancher, medium skin tone, man. Person who grows then harvests food"
🙎‍♀️,"woman pouting. woman pouting. pouting, gesture, woman. A woman is a female human."
🏋🏿‍♀️,"woman lifting weights: dark skin tone. woman lifting weights: dark skin tone. dark skin tone, weight lifter, woman"
👩‍⚖️,"woman judge. woman judge. judge, woman, scales. A woman is a female human."
👨🏿‍🚒,"man firefighter: dark skin tone. man firefighter: dark skin tone. dark skin tone, firetruck, firefighter, man. Two or more persons trained to put out fires."
⛹🏿‍♂️,"man bouncing ball: dark skin tone. man bouncing ball: dark skin tone. dark skin tone, ball, man"
👨🏻‍🚒,"man firefighter: light skin tone. man firefighter: light skin tone. firetruck, light skin tone, firefighter, man. Two or more persons trained to put out fires."
🈚,"Japanese “free of charge” button. Japanese “free of charge” button. japanese, ?, “free of charge”, ideograph. Logograms used in the writing of Chinese and Japanese"
🤷🏿‍♀️,"woman shrugging: dark skin tone. woman shrugging: dark skin tone. dark skin tone, woman, indifference, shrug, ignorance, doubt. A woman is a female human."
👨🏿‍🚀,"man astronaut: dark skin tone. man astronaut: dark skin tone. dark skin tone, rocket, astronaut, man. Sexual maturity is the age or stage when an organism can reproduce."
👨🏻‍🚀,"man astronaut: light skin tone. man astronaut: light skin tone. rocket, light skin tone, astronaut, man. Sexual maturity is the age or stage when an organism can reproduce."
👩‍👩‍👧,"family: woman, woman, girl. family: woman, woman, girl. family, woman, girl. A woman is a female human."
👩‍👩‍👦,"family: woman, woman, boy. family: woman, woman, boy. family, boy, woman. A woman is a female human."
🈂,"Japanese “service charge” button. Japanese “service charge” button. japanese, ?, katakana, “service charge”. A Japanese syllabary used when writing words borrowed from foreign languages other than Chinese, specific names of plants and animals and other jargon, or to emphasize a word or phrase."
🈁,"Japanese “here” button. Japanese “here” button. japanese, “here”, katakana, ??. A Japanese syllabary used when writing words borrowed from foreign languages other than Chinese, specific names of plants and animals and other jargon, or to emphasize a word or phrase."
🚵🏾‍♀️,"woman mountain biking: medium-dark skin tone. woman mountain biking: medium-dark skin tone. bicycle, cyclist, bike, mountain, medium-dark skin tone, woman, biking. A woman is a female human."
👨‍👧,"family: man, girl. family: man, girl. family, girl, man. Young female human"
👨‍👦,"family: man, boy. family: man, boy. family, boy, man. Young male human"
👩🏽‍✈️,"woman pilot: medium skin tone. woman pilot: medium skin tone. plane, woman, pilot, medium skin tone. A woman is a female human."
🙎🏻‍♂️,"man pouting: light skin tone. man pouting: light skin tone. light skin tone, pouting, gesture, man. Sexual maturity is the age or stage when an organism can reproduce."
🤾🏾‍♂️,"man playing handball: medium-dark skin tone. man playing handball: medium-dark skin tone. medium-dark skin tone, man, handball. A game played in a walled court or against a single wall by two or four players who strike a rubber ball with their hands"
🇦🇿,"Azerbaijan. Azerbaijan. flag. The flag of Azerbaijan is a tricolor featuring three equally sized fesses of blue, red, and green, with a white crescent and an eight-pointed star centered in the red."
🇦🇽,"Åland Islands. Åland Islands. flag. An archipelago of islands off the coast of Sweden in the Baltic Sea, forming an autonomous province of Finland."
🕵🏽‍♀️,"woman detective: medium skin tone. woman detective: medium skin tone. sleuth, spy, woman, detective, medium skin tone"
🇦🇼,Aruba. Aruba. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇦🇺,Australia. Australia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🏊‍♀️,"woman swimming. woman swimming. swim, woman. A woman is a female human."
🇦🇹,"Austria. Austria. flag. A country in Central Europe, a member state of the European Union. Official name: Republic of Austria (Republik Österreich)."
🇦🇸,American Samoa. American Samoa. flag. US overseas territory in Oceania.
🇦🇷,"Argentina. Argentina. flag. The national flag of Argentina is a triband, composed of three equally wide horizontal bands colored light blue, and white."
🇦🇶,Antarctica. Antarctica. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👩‍🎓,"woman student. woman student. graduate, student, woman. A woman is a female human."
🇦🇴,Angola. Angola. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇦🇲,"Armenia. Armenia. flag. Armenia, officially the Republic of Armenia, is a mountainous country in the South Caucasus region of Eurasia."
🇦🇱,Albania. Albania. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👱‍♀️,"blond-haired woman. blond-haired woman. woman, blonde. A woman is a female human."
🙅🏽‍♂️,"man gesturing NO: medium skin tone. man gesturing NO: medium skin tone. hand, forbidden, gesture, prohibited, no, medium skin tone, man. That part of the fore limb below the forearm or wrist in primates (including humans)."
🇦🇮,Anguilla. Anguilla. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇦🇬,Antigua & Barbuda. Antigua & Barbuda. flag. The largest of the islands comprising Antigua and Barbuda
🇦🇫,Afghanistan. Afghanistan. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
💂🏽‍♂️,"man guard: medium skin tone. man guard: medium skin tone. guard, medium skin tone, man. Sexual maturity is the age or stage when an organism can reproduce."
🇦🇪,United Arab Emirates. United Arab Emirates. flag. The United Arab Emirates is a country in western Asia. Arab Emirates
🇦🇩,Andorra. Andorra. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇦🇨,Ascension Island. Ascension Island. flag. An island in the South Atlantic that is a British dependency of Saint Helena.
👩🏿‍🎓,"woman student: dark skin tone. woman student: dark skin tone. dark skin tone, graduate, student, woman. A woman is a female human."
🏃🏼‍♂️,"man running: medium-light skin tone. man running: medium-light skin tone. racing, running, medium-light skin tone, marathon, man. Any long and arduous undertaking"
👩‍🍳,"woman cook. woman cook. cook, chef, woman. Person who cooks professionally for other people"
👩🏻‍⚕️,"woman health worker: light skin tone. woman health worker: light skin tone. light skin tone, doctor, nurse, healthcare, woman, therapist. A woman is a female human."
🤽🏼‍♀️,"woman playing water polo: medium-light skin tone. woman playing water polo: medium-light skin tone. medium-light skin tone, woman, water polo. A woman is a female human."
🙆🏽‍♀️,"woman gesturing OK: medium skin tone. woman gesturing OK: medium skin tone. hand, ok, gesture, woman, medium skin tone. A woman is a female human."
👩🏿‍🍳,"woman cook: dark skin tone. woman cook: dark skin tone. dark skin tone, cook, chef, woman. Person who cooks professionally for other people"
🇧🇿,"Belize. Belize. flag. An English-speaking country in Central America, formerly called British Honduras. Official name: Belize. The capital is Belmopan, and the chief seaport is Belize City."
🇧🇾,Belarus. Belarus. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🙋🏾‍♂️,"man raising hand: medium-dark skin tone. man raising hand: medium-dark skin tone. gesture, medium-dark skin tone, raising hand, man. Sexual maturity is the age or stage when an organism can reproduce."
